entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,location,package_count,task_duration_mins
RoboPack-1,position_poll,position,974.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,975.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,976.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,977.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,977.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,978.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,979.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,980.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,981.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,982.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,983.0,,,,,100.0,300.0,,,
RoboPack-1,position_poll,position,984.0,,,,,0.0,300.0,,,
RoboPack-1,position_poll,position,985.0,,,,,0.0,400.0,,,
RoboPack-1,position_poll,position,986.0,,,,,0.0,500.0,,,
RoboPack-1,action,picked_up_1_packages,986.0,,,,,0.0,500.0,pickup_1,,
RoboPack-1,position_poll,position,987.0,,,,,0.0,500.0,,,
RoboPack-1,position_poll,position,988.0,,,,,100.0,500.0,,,
RoboPack-1,position_poll,position,989.0,,,,,200.0,500.0,,,
RoboPack-1,position_poll,position,990.0,,,,,300.0,500.0,,,
RoboPack-1,position_poll,position,991.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_1,991.0,,,,,300.0,300.0,,1.0,
RoboPack-1,position_poll,position,992.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,993.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,994.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,995.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,996.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,996.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,997.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,998.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,999.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1000.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1001.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1002.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1003.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,1004.0,,,,,200.0,200.0,,,
RoboPack-1,position_poll,position,1005.0,,,,,200.0,100.0,,,
RoboPack-1,action,picked_up_5_packages,1005.0,,,,,200.0,100.0,pickup_6,,
RoboPack-1,position_poll,position,1006.0,,,,,200.0,100.0,,,
RoboPack-1,position_poll,position,1007.0,,,,,300.0,100.0,,,
RoboPack-1,position_poll,position,1008.0,,,,,300.0,200.0,,,
RoboPack-1,queue,pickup_6,1008.0,,,,,300.0,300.0,,5.0,
RoboPack-1,position_poll,position,1009.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1010.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1011.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1012.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1013.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1014.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1015.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1016.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1017.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1018.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1019.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1020.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1021.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1022.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1023.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1024.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1025.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1026.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1027.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1028.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1029.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1030.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1031.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1032.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,1033.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1033.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1034.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1035.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1036.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1037.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1038.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,1039.0,,,,,100.0,300.0,,,
RoboPack-1,position_poll,position,1040.0,,,,,0.0,300.0,,,
RoboPack-1,position_poll,position,1041.0,,,,,0.0,400.0,,,
RoboPack-1,position_poll,position,1042.0,,,,,0.0,500.0,,,
RoboPack-1,action,picked_up_1_packages,1042.0,,,,,0.0,500.0,pickup_1,,
RoboPack-1,position_poll,position,1043.0,,,,,0.0,500.0,,,
RoboPack-1,position_poll,position,1044.0,,,,,100.0,500.0,,,
RoboPack-1,position_poll,position,1045.0,,,,,200.0,500.0,,,
RoboPack-1,position_poll,position,1046.0,,,,,300.0,500.0,,,
RoboPack-1,position_poll,position,1047.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_1,1047.0,,,,,300.0,300.0,,1.0,
RoboPack-1,position_poll,position,1048.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1049.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1050.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1051.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,1052.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1052.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1053.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1054.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1055.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1056.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1057.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1058.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1059.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1060.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,1061.0,,,,,400.0,400.0,,,
RoboPack-1,position_poll,position,1062.0,,,,,400.0,500.0,,,
RoboPack-1,action,picked_up_3_packages,1062.0,,,,,400.0,500.0,pickup_3,,
RoboPack-1,position_poll,position,1063.0,,,,,400.0,500.0,,,
RoboPack-1,position_poll,position,1064.0,,,,,300.0,500.0,,,
RoboPack-1,position_poll,position,1065.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_3,1065.0,,,,,300.0,300.0,,3.0,
RoboPack-1,position_poll,position,1066.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1067.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1068.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1069.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1070.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1071.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1072.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1073.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1074.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1075.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1076.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1077.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1078.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1079.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,1080.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1080.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1081.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1082.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1083.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1084.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1085.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1086.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1087.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1088.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,1089.0,,,,,100.0,300.0,,,
RoboPack-1,position_poll,position,1090.0,,,,,0.0,300.0,,,
RoboPack-1,position_poll,position,1091.0,,,,,0.0,200.0,,,
RoboPack-1,position_poll,position,1092.0,,,,,0.0,100.0,,,
RoboPack-1,action,picked_up_3_packages,1092.0,,,,,0.0,100.0,pickup_5,,
RoboPack-1,position_poll,position,1093.0,,,,,0.0,100.0,,,
RoboPack-1,position_poll,position,1094.0,,,,,100.0,100.0,,,
RoboPack-1,position_poll,position,1095.0,,,,,200.0,100.0,,,
RoboPack-1,position_poll,position,1096.0,,,,,300.0,100.0,,,
RoboPack-1,position_poll,position,1097.0,,,,,300.0,200.0,,,
RoboPack-1,queue,pickup_5,1097.0,,,,,300.0,300.0,,3.0,
RoboPack-1,position_poll,position,1098.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1099.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1100.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1101.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1102.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1103.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1104.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1105.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1106.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1107.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1108.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1109.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1110.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1111.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1112.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1113.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,1114.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,1115.0,,,,,600.0,300.0,,,
RoboPack-1,queue,maintenance,1115.0,,,,,600.0,300.0,,,4.0
RoboPack-1,position_poll,position,1116.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,1117.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,1118.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,1119.0,,,,,600.0,300.0,,,
RoboPack-1,position_poll,position,1120.0,,,,,500.0,300.0,,,
RoboPack-1,position_poll,position,1121.0,,,,,400.0,300.0,,,
RoboPack-1,position_poll,position,1122.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,1122.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1123.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1124.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1125.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1126.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1127.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1128.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,1129.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,1130.0,,,,,100.0,300.0,,,
RoboPack-1,position_poll,position,1131.0,,,,,0.0,300.0,,,
RoboPack-1,position_poll,position,1132.0,,,,,0.0,400.0,,,
RoboPack-1,position_poll,position,1133.0,,,,,0.0,500.0,,,
RoboPack-1,action,picked_up_3_packages,1133.0,,,,,0.0,500.0,pickup_1,,
RoboPack-1,position_poll,position,1134.0,,,,,0.0,500.0,,,
RoboPack-1,position_poll,position,1135.0,,,,,100.0,500.0,,,
RoboPack-1,position_poll,position,1136.0,,,,,200.0,500.0,,,
RoboPack-1,position_poll,position,1137.0,,,,,300.0,500.0,,,
RoboPack-1,position_poll,position,1138.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_1,1138.0,,,,,300.0,300.0,,3.0,
