entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,package_count,task_duration_mins
RoboPack-8,position_poll,position,18.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,19.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,19.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,19.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,19.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,19.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,19.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,19.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,19.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,20.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,20.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,20.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,20.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,20.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,20.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,20.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,20.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,21.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,21.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,21.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,21.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,21.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,21.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,21.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,21.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,22.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,22.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,22.0,,,,,300.0,270.0,,
RoboPack-4,position_poll,position,22.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,22.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,22.0,,,,,224.99999999999994,270.0,,
RoboPack-7,position_poll,position,22.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,22.0,,,,,315.0,300.0,,
RoboPack-1,position_poll,position,23.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,23.0,,,,,285.0,270.0,,
