entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
Car 88,arrival_departure,arrival,14428.0,,,,
Car 88,queue,pump_queue_wait_begins,14428.0,,,,
Car 89,arrival_departure,arrival,14662.0,,,,
Car 89,queue,pump_queue_wait_begins,14662.0,,,,
Car 90,arrival_departure,arrival,14883.0,,,,
Car 90,queue,pump_queue_wait_begins,14883.0,,,,
Truck 10,arrival_departure,depart,15110.0,,,,
Car 59,resource_use_end,pumping_ends,15123.0,,,,1.0
Car 59,arrival_departure,depart,15123.0,,,,
Car 60,resource_use,pumping_begins,15123.0,,,,1.0
Car 58,resource_use_end,pumping_ends,15126.5,,,,2.0
Car 58,arrival_departure,depart,15126.5,,,,
Car 61,resource_use,pumping_begins,15126.5,,,,2.0
Car 60,resource_use_end,pumping_ends,15137.5,,,,1.0
Car 60,arrival_departure,depart,15137.5,,,,
Car 62,resource_use,pumping_begins,15137.5,,,,1.0
Call 11,arrival_departure,arrival,15140.0,,,,
Call 11,queue,calling_truck,15140.0,,,,
Car 61,resource_use_end,pumping_ends,15140.5,,,,2.0
Car 61,arrival_departure,depart,15140.5,,,,
Car 63,resource_use,pumping_begins,15140.5,,,,2.0
Car 63,resource_use_end,pumping_ends,15153.0,,,,2.0
Car 63,arrival_departure,depart,15153.0,,,,
Car 64,resource_use,pumping_begins,15153.0,,,,2.0
Car 62,resource_use_end,pumping_ends,15158.5,,,,1.0
Car 62,arrival_departure,depart,15158.5,,,,
Car 65,resource_use,pumping_begins,15158.5,,,,1.0
Car 91,arrival_departure,arrival,15177.0,,,,
Car 91,queue,pump_queue_wait_begins,15177.0,,,,
Car 92,arrival_departure,arrival,15268.0,,,,
Car 92,queue,pump_queue_wait_begins,15268.0,,,,
Car 93,arrival_departure,arrival,15413.0,,,,
Car 93,queue,pump_queue_wait_begins,15413.0,,,,
Call 11,arrival_departure,depart,15440.0,,,,
Truck 11,arrival_departure,arrival,15440.0,,,,
Truck 11,queue,refueling,15440.0,,,,
Car 94,arrival_departure,arrival,15616.0,,,,
Car 94,queue,pump_queue_wait_begins,15616.0,,,,
Car 95,arrival_departure,arrival,15763.0,,,,
Car 95,queue,pump_queue_wait_begins,15763.0,,,,
Car 96,arrival_departure,arrival,15905.0,,,,
Car 96,queue,pump_queue_wait_begins,15905.0,,,,
Car 97,arrival_departure,arrival,15971.0,,,,
Car 97,queue,pump_queue_wait_begins,15971.0,,,,
Car 98,arrival_departure,arrival,16031.0,,,,
Car 98,queue,pump_queue_wait_begins,16031.0,,,,
Car 99,arrival_departure,arrival,16095.0,,,,
Car 99,queue,pump_queue_wait_begins,16095.0,,,,
Car 100,arrival_departure,arrival,16294.0,,,,
Car 100,queue,pump_queue_wait_begins,16294.0,,,,
Truck 11,arrival_departure,depart,16440.0,,,,
Car 65,resource_use_end,pumping_ends,16456.0,,,,1.0
Car 65,arrival_departure,depart,16456.0,,,,
