,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
210,Car 42,arrival_departure,arrival,270.0,,,,
211,Car 42,queue,carwash_queue_wait_begins,270.0,,,,
212,Car 42,resource_use,carwashing_begins,270.0,,,,1.0
213,Car 42,resource_use_end,carwashing_ends,275.0,,,,1.0
214,Car 42,arrival_departure,depart,275.0,,,,
215,Car 43,arrival_departure,arrival,278.0,,,,
216,Car 43,queue,carwash_queue_wait_begins,278.0,,,,
217,Car 43,resource_use,carwashing_begins,278.0,,,,2.0
218,Car 44,arrival_departure,arrival,283.0,,,,
219,Car 44,queue,carwash_queue_wait_begins,283.0,,,,
220,Car 44,resource_use,carwashing_begins,283.0,,,,1.0
221,Car 43,resource_use_end,carwashing_ends,283.0,,,,2.0
222,Car 43,arrival_departure,depart,283.0,,,,
223,Car 44,resource_use_end,carwashing_ends,288.0,,,,1.0
224,Car 44,arrival_departure,depart,288.0,,,,
225,Car 45,arrival_departure,arrival,290.0,,,,
226,Car 45,queue,carwash_queue_wait_begins,290.0,,,,
227,Car 45,resource_use,carwashing_begins,290.0,,,,2.0
228,Car 45,resource_use_end,carwashing_ends,295.0,,,,2.0
229,Car 45,arrival_departure,depart,295.0,,,,
230,Car 46,arrival_departure,arrival,298.0,,,,
231,Car 46,queue,carwash_queue_wait_begins,298.0,,,,
232,Car 46,resource_use,carwashing_begins,298.0,,,,1.0
233,Car 46,resource_use_end,carwashing_ends,303.0,,,,1.0
234,Car 46,arrival_departure,depart,303.0,,,,
235,Car 47,arrival_departure,arrival,307.0,,,,
236,Car 47,queue,carwash_queue_wait_begins,307.0,,,,
237,Car 47,resource_use,carwashing_begins,307.0,,,,2.0
238,Car 47,resource_use_end,carwashing_ends,312.0,,,,2.0
239,Car 47,arrival_departure,depart,312.0,,,,
240,Car 48,arrival_departure,arrival,314.0,,,,
241,Car 48,queue,carwash_queue_wait_begins,314.0,,,,
242,Car 48,resource_use,carwashing_begins,314.0,,,,1.0
243,Car 48,resource_use_end,carwashing_ends,319.0,,,,1.0
244,Car 48,arrival_departure,depart,319.0,,,,
245,Car 49,arrival_departure,arrival,322.0,,,,
246,Car 49,queue,carwash_queue_wait_begins,322.0,,,,
247,Car 49,resource_use,carwashing_begins,322.0,,,,2.0
248,Car 49,resource_use_end,carwashing_ends,327.0,,,,2.0
249,Car 49,arrival_departure,depart,327.0,,,,
250,Car 50,arrival_departure,arrival,328.0,,,,
251,Car 50,queue,carwash_queue_wait_begins,328.0,,,,
252,Car 50,resource_use,carwashing_begins,328.0,,,,1.0
253,Car 50,resource_use_end,carwashing_ends,333.0,,,,1.0
254,Car 50,arrival_departure,depart,333.0,,,,
255,Car 51,arrival_departure,arrival,336.0,,,,
256,Car 51,queue,carwash_queue_wait_begins,336.0,,,,
257,Car 51,resource_use,carwashing_begins,336.0,,,,2.0
258,Car 51,resource_use_end,carwashing_ends,341.0,,,,2.0
259,Car 51,arrival_departure,depart,341.0,,,,
260,Car 52,arrival_departure,arrival,342.0,,,,
261,Car 52,queue,carwash_queue_wait_begins,342.0,,,,
262,Car 52,resource_use,carwashing_begins,342.0,,,,1.0
263,Car 53,arrival_departure,arrival,347.0,,,,
264,Car 53,queue,carwash_queue_wait_begins,347.0,,,,
265,Car 53,resource_use,carwashing_begins,347.0,,,,2.0
266,Car 52,resource_use_end,carwashing_ends,347.0,,,,1.0
267,Car 52,arrival_departure,depart,347.0,,,,
268,Car 53,resource_use_end,carwashing_ends,352.0,,,,2.0
269,Car 53,arrival_departure,depart,352.0,,,,
270,Car 54,arrival_departure,arrival,354.0,,,,
271,Car 54,queue,carwash_queue_wait_begins,354.0,,,,
272,Car 54,resource_use,carwashing_begins,354.0,,,,1.0
273,Car 54,resource_use_end,carwashing_ends,359.0,,,,1.0
274,Car 54,arrival_departure,depart,359.0,,,,
275,Car 55,arrival_departure,arrival,363.0,,,,
276,Car 55,queue,carwash_queue_wait_begins,363.0,,,,
277,Car 55,resource_use,carwashing_begins,363.0,,,,2.0
278,Car 56,arrival_departure,arrival,368.0,,,,
279,Car 56,queue,carwash_queue_wait_begins,368.0,,,,
280,Car 56,resource_use,carwashing_begins,368.0,,,,1.0
281,Car 55,resource_use_end,carwashing_ends,368.0,,,,2.0
282,Car 55,arrival_departure,depart,368.0,,,,
283,Car 56,resource_use_end,carwashing_ends,373.0,,,,1.0
284,Car 56,arrival_departure,depart,373.0,,,,
285,Car 57,arrival_departure,arrival,374.0,,,,
286,Car 57,queue,carwash_queue_wait_begins,374.0,,,,
287,Car 57,resource_use,carwashing_begins,374.0,,,,2.0
288,Car 57,resource_use_end,carwashing_ends,379.0,,,,2.0
289,Car 57,arrival_departure,depart,379.0,,,,
290,Car 58,arrival_departure,arrival,380.0,,,,
291,Car 58,queue,carwash_queue_wait_begins,380.0,,,,
292,Car 58,resource_use,carwashing_begins,380.0,,,,1.0
293,Car 58,resource_use_end,carwashing_ends,385.0,,,,1.0
294,Car 58,arrival_departure,depart,385.0,,,,
295,Car 59,arrival_departure,arrival,386.0,,,,
296,Car 59,queue,carwash_queue_wait_begins,386.0,,,,
297,Car 59,resource_use,carwashing_begins,386.0,,,,2.0
298,Car 60,arrival_departure,arrival,391.0,,,,
299,Car 60,queue,carwash_queue_wait_begins,391.0,,,,
300,Car 60,resource_use,carwashing_begins,391.0,,,,1.0
301,Car 59,resource_use_end,carwashing_ends,391.0,,,,2.0
302,Car 59,arrival_departure,depart,391.0,,,,
303,Car 60,resource_use_end,carwashing_ends,396.0,,,,1.0
304,Car 60,arrival_departure,depart,396.0,,,,
305,Car 61,arrival_departure,arrival,397.0,,,,
306,Car 61,queue,carwash_queue_wait_begins,397.0,,,,
307,Car 61,resource_use,carwashing_begins,397.0,,,,2.0
308,Car 62,arrival_departure,arrival,402.0,,,,
309,Car 62,queue,carwash_queue_wait_begins,402.0,,,,
310,Car 62,resource_use,carwashing_begins,402.0,,,,1.0
311,Car 61,resource_use_end,carwashing_ends,402.0,,,,2.0
312,Car 61,arrival_departure,depart,402.0,,,,
313,Car 62,resource_use_end,carwashing_ends,407.0,,,,1.0
314,Car 62,arrival_departure,depart,407.0,,,,
315,Car 63,arrival_departure,arrival,410.0,,,,
316,Car 63,queue,carwash_queue_wait_begins,410.0,,,,
317,Car 63,resource_use,carwashing_begins,410.0,,,,2.0
318,Car 63,resource_use_end,carwashing_ends,415.0,,,,2.0
319,Car 63,arrival_departure,depart,415.0,,,,
320,Car 64,arrival_departure,arrival,419.0,,,,
321,Car 64,queue,carwash_queue_wait_begins,419.0,,,,
322,Car 64,resource_use,carwashing_begins,419.0,,,,1.0
323,Car 64,resource_use_end,carwashing_ends,424.0,,,,1.0
324,Car 64,arrival_departure,depart,424.0,,,,
325,Car 65,arrival_departure,arrival,427.0,,,,
326,Car 65,queue,carwash_queue_wait_begins,427.0,,,,
327,Car 65,resource_use,carwashing_begins,427.0,,,,2.0
328,Car 65,resource_use_end,carwashing_ends,432.0,,,,2.0
329,Car 65,arrival_departure,depart,432.0,,,,
330,Car 66,arrival_departure,arrival,435.0,,,,
331,Car 66,queue,carwash_queue_wait_begins,435.0,,,,
332,Car 66,resource_use,carwashing_begins,435.0,,,,1.0
333,Car 66,resource_use_end,carwashing_ends,440.0,,,,1.0
334,Car 66,arrival_departure,depart,440.0,,,,
335,Car 67,arrival_departure,arrival,441.0,,,,
336,Car 67,queue,carwash_queue_wait_begins,441.0,,,,
337,Car 67,resource_use,carwashing_begins,441.0,,,,2.0
338,Car 68,arrival_departure,arrival,446.0,,,,
339,Car 68,queue,carwash_queue_wait_begins,446.0,,,,
340,Car 68,resource_use,carwashing_begins,446.0,,,,1.0
341,Car 67,resource_use_end,carwashing_ends,446.0,,,,2.0
342,Car 67,arrival_departure,depart,446.0,,,,
343,Car 69,arrival_departure,arrival,451.0,,,,
344,Car 69,queue,carwash_queue_wait_begins,451.0,,,,
345,Car 69,resource_use,carwashing_begins,451.0,,,,2.0
