entity_id,pathway,event_type,event,time,resource_id,run,activity_id,lifecycle_id
104,Simplest,queue,treatment_wait_begins,604.7474984900131,,0,165,start
104,Simplest,queue,treatment_wait_begins,608.544748634783,,0,165,complete
62,Simplest,resource_use,treatment_begins,608.544748634783,2.0,0,166,start
62,Simplest,resource_use,treatment_begins,609.0698524444266,2.0,0,166,complete
105,Simplest,queue,treatment_wait_begins,609.0698524444266,,0,167,start
105,Simplest,queue,treatment_wait_begins,609.5893423851517,,0,167,complete
106,Simplest,queue,treatment_wait_begins,609.5893423851517,,0,168,start
106,Simplest,queue,treatment_wait_begins,613.1442801159326,,0,168,complete
107,Simplest,queue,treatment_wait_begins,613.1442801159326,,0,169,start
107,Simplest,queue,treatment_wait_begins,616.6651150847507,,0,169,complete
63,Simplest,resource_use,treatment_begins,616.6651150847507,1.0,0,170,start
63,Simplest,resource_use,treatment_begins,620.2975647904025,1.0,0,170,complete
64,Simplest,resource_use,treatment_begins,620.2975647904025,4.0,0,171,start
64,Simplest,resource_use,treatment_begins,632.0183320934323,4.0,0,171,complete
108,Simplest,queue,treatment_wait_begins,632.0183320934323,,0,172,start
108,Simplest,queue,treatment_wait_begins,632.1049575677247,,0,172,complete
65,Simplest,resource_use,treatment_begins,632.1049575677247,3.0,0,173,start
65,Simplest,resource_use,treatment_begins,632.4670797371276,3.0,0,173,complete
109,Simplest,queue,treatment_wait_begins,632.4670797371276,,0,174,start
109,Simplest,queue,treatment_wait_begins,640.2296039762264,,0,174,complete
110,Simplest,queue,treatment_wait_begins,640.2296039762264,,0,175,start
110,Simplest,queue,treatment_wait_begins,640.3089746403734,,0,175,complete
111,Simplest,queue,treatment_wait_begins,640.3089746403734,,0,176,start
111,Simplest,queue,treatment_wait_begins,642.85583537964,,0,176,complete
66,Simplest,resource_use,treatment_begins,642.85583537964,2.0,0,177,start
66,Simplest,resource_use,treatment_begins,648.858031992529,2.0,0,177,complete
112,Simplest,queue,treatment_wait_begins,648.858031992529,,0,178,start
112,Simplest,queue,treatment_wait_begins,651.9263477505116,,0,178,complete
113,Simplest,queue,treatment_wait_begins,651.9263477505116,,0,179,start
113,Simplest,queue,treatment_wait_begins,657.184491930186,,0,179,complete
114,Simplest,queue,treatment_wait_begins,657.184491930186,,0,180,start
114,Simplest,queue,treatment_wait_begins,657.6119395838386,,0,180,complete
67,Simplest,resource_use,treatment_begins,657.6119395838386,4.0,0,181,start
67,Simplest,resource_use,treatment_begins,657.9580137057304,4.0,0,181,complete
115,Simplest,queue,treatment_wait_begins,657.9580137057304,,0,182,start
115,Simplest,queue,treatment_wait_begins,662.9467079694716,,0,182,complete
116,Simplest,queue,treatment_wait_begins,662.9467079694716,,0,183,start
116,Simplest,queue,treatment_wait_begins,663.937497341267,,0,183,complete
117,Simplest,queue,treatment_wait_begins,663.937497341267,,0,184,start
