,patient,pathway,event_type,event,time,resource_id,run
298,91,2,arrival_departure,arrival,411.5550592296831,,1
299,91,2,queue,treatment_wait_begins,411.5550592296831,,1
300,92,1,arrival_departure,arrival,412.491396507024,,1
301,92,1,queue,treatment_wait_begins,412.491396507024,,1
302,93,2,arrival_departure,arrival,422.0828587162822,,1
303,93,2,queue,treatment_wait_begins,422.0828587162822,,1
304,94,2,arrival_departure,arrival,428.54263891348444,,1
305,94,2,queue,treatment_wait_begins,428.54263891348444,,1
306,95,2,arrival_departure,arrival,430.18884989348794,,1
307,95,2,queue,treatment_wait_begins,430.18884989348794,,1
308,96,2,arrival_departure,arrival,431.1918089653501,,1
309,96,2,queue,treatment_wait_begins,431.1918089653501,,1
310,31,2,resource_use_end,treatment_complete,432.27047862841533,2.0,1
311,31,2,arrival_departure,depart,432.27047862841533,,1
312,92,1,resource_use,treatment_begins,432.27047862841533,2.0,1
313,97,2,arrival_departure,arrival,433.84690701169285,,1
314,97,2,queue,treatment_wait_begins,433.84690701169285,,1
315,98,2,arrival_departure,arrival,435.3710613607267,,1
316,98,2,queue,treatment_wait_begins,435.3710613607267,,1
317,99,2,arrival_departure,arrival,435.7497548551885,,1
318,99,2,queue,treatment_wait_begins,435.7497548551885,,1
319,100,2,arrival_departure,arrival,438.26755384744905,,1
320,100,2,queue,treatment_wait_begins,438.26755384744905,,1
321,32,2,resource_use_end,treatment_complete,439.54250294568897,3.0,1
322,32,2,arrival_departure,depart,439.54250294568897,,1
323,35,2,resource_use,treatment_begins,439.54250294568897,3.0,1
324,33,2,resource_use_end,treatment_complete,443.4502736642007,4.0,1
325,33,2,arrival_departure,depart,443.4502736642007,,1
326,37,2,resource_use,treatment_begins,443.4502736642007,4.0,1
327,34,2,resource_use_end,treatment_complete,445.56898722159673,1.0,1
328,34,2,arrival_departure,depart,445.56898722159673,,1
329,38,2,resource_use,treatment_begins,445.56898722159673,1.0,1
330,101,1,arrival_departure,arrival,449.52694667095466,,1
331,101,1,queue,treatment_wait_begins,449.52694667095466,,1
332,102,2,arrival_departure,arrival,454.5711963577564,,1
333,102,2,queue,treatment_wait_begins,454.5711963577564,,1
334,92,1,resource_use_end,treatment_complete,468.8051197255543,2.0,1
335,92,1,arrival_departure,depart,468.8051197255543,,1
